学校名称_中文,学校名称_英文,省份,排名,学校地址,学校网址
江苏大学,Jiangsu University,江苏,78,"江苏省镇江市京口区象山街道学府路301号
",https://baike.baidu.com/item/%E6%B1%9F%E8%8B%8F%E5%A4%A7%E5%AD%A6
华南师范大学,South China Normal University,广东,79,"广东省广州市中山大道西55号
",https://baike.baidu.com/item/%E5%8D%8E%E5%8D%97%E5%B8%88%E8%8C%83%E5%A4%A7%E5%AD%A6
云南大学,Yunnan University,云南,80,"云南省昆明市呈贡区大学城东外环南路 
",https://baike.baidu.com/item/%E4%BA%91%E5%8D%97%E5%A4%A7%E5%AD%A6
北京外国语大学,Beijing Foreign Studies University,北京,语1,"北京市海淀区西三环北路2号
",https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E5%A4%96%E5%9B%BD%E8%AF%AD%E5%A4%A7%E5%AD%A6
扬州大学,Yangzhou University,江苏,81,"江苏省扬州市大学南路
",https://baike.baidu.com/item/%E6%89%AC%E5%B7%9E%E5%A4%A7%E5%AD%A6
北京林业大学,Beijing Forestry University,北京,82,"中国北京市海淀区清华东路35号
",https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E6%9E%97%E4%B8%9A%E5%A4%A7%E5%AD%A6
中国传媒大学,Communication University of China,北京,语2,"北京市朝阳区定福庄东街1号
",https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E4%BC%A0%E5%AA%92%E5%A4%A7%E5%AD%A6
合肥工业大学,Hefei University of Technology,安徽,83,"安徽省合肥市包河区屯溪路193号
",https://baike.baidu.com/item/%E5%90%88%E8%82%A5%E5%B7%A5%E4%B8%9A%E5%A4%A7%E5%AD%A6
北京中医药大学,Beijing University of Chinese Medicine,北京,医8,"北京市朝阳区北三环东路11号
",https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E4%B8%AD%E5%8C%BB%E8%8D%AF%E5%A4%A7%E5%AD%A6
宁波大学,Ningbo University,浙江,84,"浙江省宁波市江北区风华路818号
",https://baike.baidu.com/item/%E5%AE%81%E6%B3%A2%E5%A4%A7%E5%AD%A6
南京工业大学,Nanjing Tech University,江苏,85,"江苏省南京市江北新区浦珠南路30号
",https://baike.baidu.com/item/%E5%8D%97%E4%BA%AC%E5%B7%A5%E4%B8%9A%E5%A4%A7%E5%AD%A6
南京邮电大学,Nanjing University of Posts and Telecommunications,江苏,86,"江苏省南京市仙林大学城文苑路9号
",https://baike.baidu.com/item/%E5%8D%97%E4%BA%AC%E9%82%AE%E7%94%B5%E5%A4%A7%E5%AD%A6
湖南师范大学,Hunan Normal University,湖南,87,"湖南省长沙市岳麓区麓山路36号
",https://baike.baidu.com/item/%E6%B9%96%E5%8D%97%E5%B8%88%E8%8C%83%E5%A4%A7%E5%AD%A6
长安大学,Chang'an University,陕西,88,"陕西省西安市未央区尚苑路
",https://baike.baidu.com/item/%E9%95%BF%E5%AE%89%E5%A4%A7%E5%AD%A6
首都师范大学,Capital Normal University,北京,89,"北京市海淀区西三环北路105号
",https://baike.baidu.com/item/%E9%A6%96%E9%83%BD%E5%B8%88%E8%8C%83%E5%A4%A7%E5%AD%A6
南京信息工程大学,Nanjing University of Information Science & Technology,江苏,90,"江苏省南京市江北新区宁六路219号
",https://baike.baidu.com/item/%E5%8D%97%E4%BA%AC%E4%BF%A1%E6%81%AF%E5%B7%A5%E7%A8%8B%E5%A4%A7%E5%AD%A6
杭州电子科技大学,Hangzhou Dianzi University,浙江,91,"浙江省杭州市杭州经济开发区白杨街道2号大街1158号
",https://baike.baidu.com/item/%E6%9D%AD%E5%B7%9E%E7%94%B5%E5%AD%90%E7%A7%91%E6%8A%80%E5%A4%A7%E5%AD%A6
湘潭大学,Xiangtan University,湖南,92,"湖南省湘潭市雨湖区北二环
",https://baike.baidu.com/item/%E6%B9%98%E6%BD%AD%E5%A4%A7%E5%AD%A6
华南农业大学,South China Agricultural University,广东,93,"广东省广州市天河区五山483号
",https://baike.baidu.com/item/%E5%8D%8E%E5%8D%97%E5%86%9C%E4%B8%9A%E5%A4%A7%E5%AD%A6
温州医科大学,Wenzhou Medical University,浙江,医9,"浙江省温州市鹿城区学院西路268号
",https://baike.baidu.com/item/%E6%B8%A9%E5%B7%9E%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6
燕山大学,Yanshan University,河北,94,"河北省秦皇岛市海港区河北大街西段438号
",https://baike.baidu.com/item/%E7%87%95%E5%B1%B1%E5%A4%A7%E5%AD%A6
福建师范大学,Fujian Normal University,福建,95,"福建省福州市仓山区上三路8号
",https://baike.baidu.com/item/%E7%A6%8F%E5%BB%BA%E5%B8%88%E8%8C%83%E5%A4%A7%E5%AD%A6
广西大学,Guangxi University,广西,96,"广西南宁市大学东路100号
",https://baike.baidu.com/item/%E5%B9%BF%E8%A5%BF%E5%A4%A7%E5%AD%A6
中国药科大学,China Pharmaceutical University,江苏,医10,"江苏省南京市鼓楼区童家巷24号
",https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E8%8D%AF%E7%A7%91%E5%A4%A7%E5%AD%A6
广州大学,Guangzhou University,广东,97,"广东省广州市大学城外环西路230号
",https://baike.baidu.com/item/%E5%B9%BF%E5%B7%9E%E5%A4%A7%E5%AD%A6
上海外国语大学,Shanghai International Studies University,上海,语3,"上海市大连西路550号
",https://baike.baidu.com/item/%E4%B8%8A%E6%B5%B7%E5%A4%96%E5%9B%BD%E8%AF%AD%E5%A4%A7%E5%AD%A6
上海中医药大学,Shanghai University of Traditional Chinese Medicine,上海,医11,"上海市浦东新区蔡伦路1200号
",https://baike.baidu.com/item/%E4%B8%8A%E6%B5%B7%E4%B8%AD%E5%8C%BB%E8%8D%AF%E5%A4%A7%E5%AD%A6
河南大学,Henan University,河南,98,"河南省郑州市郑东新区明理路北段379号
",https://baike.baidu.com/item/%E6%B2%B3%E5%8D%97%E5%A4%A7%E5%AD%A6
大连海事大学,Dalian Maritime University,辽宁,99,"辽宁省大连市凌海路1号
",https://baike.baidu.com/item/%E5%A4%A7%E8%BF%9E%E6%B5%B7%E4%BA%8B%E5%A4%A7%E5%AD%A6
浙江师范大学,Zhejiang Normal University,浙江,100,"浙江省迎宾大道688号
",https://baike.baidu.com/item/%E6%B5%99%E6%B1%9F%E5%B8%88%E8%8C%83%E5%A4%A7%E5%AD%A6
重庆医科大学,Chongqing Medical University,重庆,医12,"重庆市医学院路1号
",https://baike.baidu.com/item/%E9%87%8D%E5%BA%86%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6
广东工业大学,Guangdong University of Technology,广东,101,"广东省广州市番禺区小谷围街广州大学城外环西路100号
",https://baike.baidu.com/item/%E5%B9%BF%E4%B8%9C%E5%B7%A5%E4%B8%9A%E5%A4%A7%E5%AD%A6
广州医科大学,Guangzhou Medical University,广东,医13,"广东省广州市越秀区东风西路 195 号
",https://baike.baidu.com/item/%E5%B9%BF%E5%B7%9E%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6
上海理工大学,University of Shanghai for Science and Technology,上海,102,"上海市杨浦区军工路516号
",https://baike.baidu.com/item/%E4%B8%8A%E6%B5%B7%E7%90%86%E5%B7%A5%E5%A4%A7%E5%AD%A6
东北财经大学,Dongbei University of Finance and Economics,辽宁,财6,"辽宁省大连市沙河口区尖山街217号
",https://baike.baidu.com/item/%E4%B8%9C%E5%8C%97%E8%B4%A2%E7%BB%8F%E5%A4%A7%E5%AD%A6
上海纽约大学,New York University Shanghai,上海,合作2,"上海市浦东新区杨思西路567号
",https://baike.baidu.com/item/%E4%B8%8A%E6%B5%B7%E7%BA%BD%E7%BA%A6%E5%A4%A7%E5%AD%A6
山西大学,Shanxi University,山西,103,"太原市坞城路92号
",https://baike.baidu.com/item/%E5%B1%B1%E8%A5%BF%E5%A4%A7%E5%AD%A6
外交学院,China Foreign Affairs University,北京,语4,"北京市西城区展览馆路24号
",https://baike.baidu.com/item/%E5%A4%96%E4%BA%A4%E5%AD%A6%E9%99%A2
安徽大学,Anhui University,安徽,104,"安徽省合肥市经济技术开发区九龙路111号
",https://baike.baidu.com/item/%E5%AE%89%E5%BE%BD%E5%A4%A7%E5%AD%A6
中央民族大学,Minzu University of China,北京,民1,"北京市海淀区中关村南大街27号
",https://baike.baidu.com/item/%E4%B8%AD%E5%A4%AE%E6%B0%91%E6%97%8F%E5%A4%A7%E5%AD%A6
山东师范大学,Shandong Normal University,山东,105,"山东省济南市历下区文化东路88号
",https://baike.baidu.com/item/%E5%B1%B1%E4%B8%9C%E5%B8%88%E8%8C%83%E5%A4%A7%E5%AD%A6
河北工业大学,Hebei University of Technology,河北,106,"天津市北辰区西平道5340号
",https://baike.baidu.com/item/%E6%B2%B3%E5%8C%97%E5%B7%A5%E4%B8%9A%E5%A4%A7%E5%AD%A6
青岛大学,Qingdao University,山东,107,"山东省青岛市宁夏路308号
",https://baike.baidu.com/item/%E9%9D%92%E5%B2%9B%E5%A4%A7%E5%AD%A6
太原理工大学,Taiyuan University of Technology,山西,107,"山西省太原市迎泽西大街79号
",https://baike.baidu.com/item/%E5%A4%AA%E5%8E%9F%E7%90%86%E5%B7%A5%E5%A4%A7%E5%AD%A6
贵州大学,Guizhou University,贵州,109,"贵州省贵阳市花溪区花溪大道南段2708号
",https://baike.baidu.com/item/%E8%B4%B5%E5%B7%9E%E5%A4%A7%E5%AD%A6
南京林业大学,Nanjing Forestry University,江苏,110,"江苏省南京市玄武区龙蟠路159号
",https://baike.baidu.com/item/%E5%8D%97%E4%BA%AC%E6%9E%97%E4%B8%9A%E5%A4%A7%E5%AD%A6
上海师范大学,Shanghai Normal University,上海,111,"上海市徐汇区桂林路100号
",https://baike.baidu.com/item/%E4%B8%8A%E6%B5%B7%E5%B8%88%E8%8C%83%E5%A4%A7%E5%AD%A6
武汉科技大学,Wuhan University of Science and Technology,湖北,111,"湖北省武汉市青山区和平大道947号
",https://baike.baidu.com/item/%E6%AD%A6%E6%B1%89%E7%A7%91%E6%8A%80%E5%A4%A7%E5%AD%A6
内蒙古大学,Inner Mongolia University,内蒙古,113,"内蒙古自治区呼和浩特市赛罕区大学西街235号
",https://baike.baidu.com/item/%E5%86%85%E8%92%99%E5%8F%A4%E5%A4%A7%E5%AD%A6
浙江理工大学,Zhejiang Sci-Tech University,浙江,114,"浙江省杭州市钱塘区下沙高教园区2号大街928号
",https://baike.baidu.com/item/%E6%B5%99%E6%B1%9F%E7%90%86%E5%B7%A5%E5%A4%A7%E5%AD%A6
东北林业大学,Northeast Forestry University - China,黑龙江,115,"黑龙江省哈尔滨市香坊区和兴路26号
",https://baike.baidu.com/item/%E4%B8%9C%E5%8C%97%E6%9E%97%E4%B8%9A%E5%A4%A7%E5%AD%A6
福建农林大学,Fujian Agriculture and Forestry University,福建,116,"福建省福州市仓山区上下店路15号
",https://baike.baidu.com/item/%E7%A6%8F%E5%BB%BA%E5%86%9C%E6%9E%97%E5%A4%A7%E5%AD%A6
江西财经大学,Jiangxi University of Finance & Economics,江西,财7,"江西省南昌市昌北经济技术开发区双港东大街169号
",https://baike.baidu.com/item/%E6%B1%9F%E8%A5%BF%E8%B4%A2%E7%BB%8F%E5%A4%A7%E5%AD%A6
宁波诺丁汉大学,University of Nottingham Ningbo China,浙江,合作3,"浙江省宁波市泰康东路199号
",https://baike.baidu.com/item/%E5%AE%81%E6%B3%A2%E8%AF%BA%E4%B8%81%E6%B1%89%E5%A4%A7%E5%AD%A6
西安理工大学,Xi'an University of Technology,陕西,117,"陕西省西安市碑林区金花南路5号
",https://baike.baidu.com/item/%E8%A5%BF%E5%AE%89%E7%90%86%E5%B7%A5%E5%A4%A7%E5%AD%A6
海南大学,Hainan University,海南,118,"海南省海口市美兰区人民大道58号
",https://baike.baidu.com/item/%E6%B5%B7%E5%8D%97%E5%A4%A7%E5%AD%A6
江西师范大学,Jiangxi Normal University,江西,119,"江西省南昌市紫阳大道99号
",https://baike.baidu.com/item/%E6%B1%9F%E8%A5%BF%E5%B8%88%E8%8C%83%E5%A4%A7%E5%AD%A6
东北农业大学,Northeast Agricultural University - China,黑龙江,120,"中国哈尔滨香坊区长江路600号
",https://baike.baidu.com/item/%E4%B8%9C%E5%8C%97%E5%86%9C%E4%B8%9A%E5%A4%A7%E5%AD%A6
河北医科大学,Hebei Medical University,河北,医14,"河北省石家庄市中山东路361号
",https://baike.baidu.com/item/%E6%B2%B3%E5%8C%97%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6
长沙理工大学,Changsha University of Science and Technology,湖南,121,"湖南省长沙市天心区万家丽南路二段960号
",https://baike.baidu.com/item/%E9%95%BF%E6%B2%99%E7%90%86%E5%B7%A5%E5%A4%A7%E5%AD%A6
西安建筑科技大学,Xi'an University of Architecture and Technology,陕西,122,"陕西省西安市碑林区雁塔路中段13号
",https://baike.baidu.com/item/%E8%A5%BF%E5%AE%89%E5%BB%BA%E7%AD%91%E7%A7%91%E6%8A%80%E5%A4%A7%E5%AD%A6
湖北大学,Hubei University,湖北,123,"湖北省武汉市武昌区友谊大道368号
",https://baike.baidu.com/item/%E6%B9%96%E5%8C%97%E5%A4%A7%E5%AD%A6
南京中医药大学,Nanjing University of Chinese Medicine,江苏,医15,"江苏省南京市汉中路282号
",https://baike.baidu.com/item/%E5%8D%97%E4%BA%AC%E4%B8%AD%E5%8C%BB%E8%8D%AF%E5%A4%A7%E5%AD%A6
昆明理工大学,Kunming University of Science and Technology,云南,124,"云南省昆明市呈贡区景明南路727号
",https://baike.baidu.com/item/%E6%98%86%E6%98%8E%E7%90%86%E5%B7%A5%E5%A4%A7%E5%AD%A6
江苏师范大学,Jiangsu Normal University,江苏,125,"江苏省徐州市铜山新区上海路101号
",https://baike.baidu.com/item/%E6%B1%9F%E8%8B%8F%E5%B8%88%E8%8C%83%E5%A4%A7%E5%AD%A6
大连医科大学,Dalian Medical University,辽宁,医16,"辽宁省大连市旅顺南路西段9号
",https://baike.baidu.com/item/%E5%A4%A7%E8%BF%9E%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6
首都经济贸易大学,Capital University of Economics & Business,北京,财8,"北京市丰台区花乡张家路口121号
",https://baike.baidu.com/item/%E9%A6%96%E9%83%BD%E7%BB%8F%E6%B5%8E%E8%B4%B8%E6%98%93%E5%A4%A7%E5%AD%A6
山东科技大学,Shandong University of Science and Technology,山东,126,"山东省青岛市黄岛区前湾港路579号
",https://baike.baidu.com/item/%E5%B1%B1%E4%B8%9C%E7%A7%91%E6%8A%80%E5%A4%A7%E5%AD%A6
辽宁大学,Liaoning University,辽宁,127,"辽宁省沈阳市皇姑区崇山中路66号
",https://baike.baidu.com/item/%E8%BE%BD%E5%AE%81%E5%A4%A7%E5%AD%A6
西南石油大学,Southwest Petroleum University,四川,128,"四川省成都市新都区新都大道8号
",https://baike.baidu.com/item/%E8%A5%BF%E5%8D%97%E7%9F%B3%E6%B2%B9%E5%A4%A7%E5%AD%A6
杭州师范大学,Hangzhou Normal University,浙江,129,"浙江省杭州市余杭区仓前街道海曙路58号
",https://baike.baidu.com/item/%E6%9D%AD%E5%B7%9E%E5%B8%88%E8%8C%83%E5%A4%A7%E5%AD%A6
河北大学,Hebei University,河北,130,"河北省保定市五四东路180号
",https://baike.baidu.com/item/%E6%B2%B3%E5%8C%97%E5%A4%A7%E5%AD%A6
陕西科技大学,Shaanxi University of Science and Technology,陕西,131,"陕西省西安市未央区大学园区
",https://baike.baidu.com/item/%E9%99%95%E8%A5%BF%E7%A7%91%E6%8A%80%E5%A4%A7%E5%AD%A6
安徽师范大学,Anhui Normal University,安徽,132,"安徽省芜湖市镜湖区北京东路2号
",https://baike.baidu.com/item/%E5%AE%89%E5%BE%BD%E5%B8%88%E8%8C%83%E5%A4%A7%E5%AD%A6
北京建筑大学,Beijing University of Civil Engineering and Architecture,北京,133,"北京市大兴区黄村镇永源路15号
",https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E5%BB%BA%E7%AD%91%E5%A4%A7%E5%AD%A6
华侨大学,Huaqiao University,福建,134,"福建省泉州市丰泽区城华北路269号
",https://baike.baidu.com/item/%E5%8D%8E%E4%BE%A8%E5%A4%A7%E5%AD%A6
汕头大学,Shantou University,广东,135,"广东省汕头市金平区大学路243号
",https://baike.baidu.com/item/%E6%B1%95%E5%A4%B4%E5%A4%A7%E5%AD%A6
华东政法大学,East China University of Political Science and Law,上海,政2,"上海市松江大学园区龙源路555号
",https://baike.baidu.com/item/%E5%8D%8E%E4%B8%9C%E6%94%BF%E6%B3%95%E5%A4%A7%E5%AD%A6
新疆大学,Xinjiang University,新疆,136,"新疆维吾尔自治区乌鲁木齐市天山区胜利路666号
",https://baike.baidu.com/item/%E6%96%B0%E7%96%86%E5%A4%A7%E5%AD%A6
江苏科技大学,Jiangsu University of Science and Technology,江苏,137,"江苏省镇江市丹徒新区长晖路666号
",https://baike.baidu.com/item/%E6%B1%9F%E8%8B%8F%E7%A7%91%E6%8A%80%E5%A4%A7%E5%AD%A6
石河子大学,Shihezi University,新疆,138,"新疆北四路221号
",https://baike.baidu.com/item/%E7%9F%B3%E6%B2%B3%E5%AD%90%E5%A4%A7%E5%AD%A6
中国计量大学,China Jiliang University,浙江,139,"浙江省杭州市钱塘区下沙高教园区学源街258号
",https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E8%AE%A1%E9%87%8F%E5%A4%A7%E5%AD%A6
北京语言大学,Beijing Language and Culture University,北京,语5,"北京市海淀区学院路15号
",https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E8%AF%AD%E8%A8%80%E5%A4%A7%E5%AD%A6
河南农业大学,Henan Agricultural University,河南,140,"河南省郑州市金水区农业路63号
",https://baike.baidu.com/item/%E6%B2%B3%E5%8D%97%E5%86%9C%E4%B8%9A%E5%A4%A7%E5%AD%A6
安徽医科大学,Anhui Medical University,安徽,医17,"安徽省合肥市梅山路81号
",https://baike.baidu.com/item/%E5%AE%89%E5%BE%BD%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6
重庆邮电大学,Chongqing University of Posts and Telecommunications,重庆,141,"重庆市南岸区崇文路2号
",https://baike.baidu.com/item/%E9%87%8D%E5%BA%86%E9%82%AE%E7%94%B5%E5%A4%A7%E5%AD%A6
湖北工业大学,Hubei University of Technology,湖北,142,"湖北省武汉市洪山区南李路28号
",https://baike.baidu.com/item/%E6%B9%96%E5%8C%97%E5%B7%A5%E4%B8%9A%E5%A4%A7%E5%AD%A6
沈阳农业大学,Shenyang Agricultural University,辽宁,142,"辽宁省沈阳市沈河区东陵路120号
",https://baike.baidu.com/item/%E6%B2%88%E9%98%B3%E5%86%9C%E4%B8%9A%E5%A4%A7%E5%AD%A6
四川农业大学,Sichuan Agricultural University,四川,142,"四川省新康路46号
",https://baike.baidu.com/item/%E5%9B%9B%E5%B7%9D%E5%86%9C%E4%B8%9A%E5%A4%A7%E5%AD%A6
福建医科大学,Fujian Medical University,福建,医18,"福建省福州市大学新区学府北路1号
",https://baike.baidu.com/item/%E7%A6%8F%E5%BB%BA%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6
浙江工商大学,Zhejiang Gongshang University,浙江,财9,"浙江省杭州市钱塘区下沙高教园区学正街18号
",https://baike.baidu.com/item/%E6%B5%99%E6%B1%9F%E5%B7%A5%E5%95%86%E5%A4%A7%E5%AD%A6
